BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360,23,,A5, 8645 15TH AVENUE ,,11228,1,0,1,"1,547","1,428",1930, 1 , A5 ," $750,000 ",5/18/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6363,48,,A9, 12 BAY 13TH STREET ,,11214,1,0,1,"3,142","3,200",1999, 1 , A9 , $-   ,2/11/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6363,48,,A9, 12 BAY 13TH STREET ,,11214,1,0,1,"3,142","3,200",1999, 1 , A9 , $-   ,2/27/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6366,69,,A1, 8658 BAY 16TH STREET ,,11214,1,0,1,"4,833","1,724",1930, 1 , A1 , $-   ,10/25/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6366,72,,A1, 8664 BAY 16TH STREET ,,11214,1,0,1,"4,833","2,300",1925, 1 , A1 ," $1,720,000 ",12/12/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6367,41,,S1, 1728 86TH STREET ,,11214,1,1,2,"1,342","1,920",1931, 1 , S1 ," $1,380,000 ",7/26/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6367,42,,S1, 1730 86TH STREET ,,11214,1,1,2,"1,342","1,920",1926, 1 , S1 ," $1,630,000 ",2/8/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6367,43,,S1, 1732 86TH STREET ,,11214,1,1,2,"1,342","1,920",1926, 1 , S1 ," $1,630,000 ",2/8/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6380,73,,S1, 8672 BAY PARKWAY ,,11214,1,1,2,"1,740","2,124",1960, 1 , S1 ," $968,000 ",7/30/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6397,63,,A2, 132 BAY 13 STREET ,,11214,1,0,1,"2,708",730,1910, 1 , A2 ," $1,150,000 ",3/28/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6401,10,,S1, 1725 BATH AVENUE ,,11214,1,1,2,"1,160","2,320",1920, 1 , S1 ," $980,000 ",2/21/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6402,4,,S1, 1763 BATH AVENUE ,,11214,1,1,2,980,"1,525",1927, 1 , S1 , $10 ,10/27/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6406,25,,A1, 1906 BENSON AVENUE ,,11214,1,0,1,0,0,0, 1 , A1 , $-   ,10/21/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6431,57,,A9, 202 BAY 14TH STREET ,,11214,1,0,1,"2,015","1,458",1910, 1 , A9 , $-   ,10/1/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,59,,A1, 284 BAY 10 STREET ,,11228,1,0,1,"3,867","2,007",1925, 1 , A1 ," $1,660,000 ",11/28/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,61,,A9, 286 BAY 10TH STREET ,,11228,1,0,1,"1,933","1,152",1920, 1 , A9 , $-   ,8/13/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,94,,A5, 275 BAY 14TH STREET ,,11214,1,0,1,"1,795","1,152",1930, 1 , A5 , $-   ,9/19/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,191,,A9, 8875 16TH AVENUE ,,11214,1,0,1,"2,132","1,188",1940, 1 , A9 , $-   ,6/12/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,191,,A9, 8875 16TH AVENUE ,,11214,1,0,1,"2,132","1,188",1940, 1 , A9 ," $840,000 ",9/21/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,217,,A5, 8929 16TH AVE ,,11214,1,0,1,"1,944","1,188",1940, 1 , A5 , $-   ,9/25/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,259,,A5, 304 BAY 13TH STREET ,,11214,1,0,1,"2,062",928,1945, 1 , A5 ," $820,000 ",11/14/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,283,,A5, 279 BAY 13TH STREET ,,11214,1,0,1,"1,649",928,1940, 1 , A5 ," $680,000 ",2/14/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,293,,A5, 8881 16TH AVENUE ,,11214,1,0,1,"2,127","1,188",1940, 1 , A5 , $-   ,2/15/2019
